key&Ro&En
PlaceholderSearch&Caută clienți...&Search for cients...
TextHeaderClient&Client nou&New client
TextNameq&Nume&Name
TextPhone&Telefon&Phone
TextEmailw&E-mail&E-mail
TextAdress&Adresa&Adress
